句子,标签
早泄是不是也有么,B_symptom I_symptom O O O O O O
医院都解决不了，我已经绝望了恩，想您这个情况咱们首先是要检查清楚具体是什么病因导致的阳痿，然后在针对性治疗的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom O O O O O O O O O O
你之前都做过什么检查,O O O O O O O O O O
引起尿频，尿急，症状病因很多，病因不同治疗方式也是不同的咱们多大年龄了呢，出现这个情况多长时间了呢？,O O B_symptom I_symptom O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
龟头破了点皮，怎么办,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
这样吧，您平时使用QQ还是微信呢？我添加你，给你说一下治疗方式和注意事项，对你一定有帮助我用的QQ,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
一次差不多半小时,O O O O O B_datetime I_datetime I_datetime
你们那看病的人多不？是不是要等很久不是的,O O O O O O O O O O O O O O O O O O O O
是有啥病了不,O O O O O O
我不是阳痿早泄吗,O O O B_symptom I_symptom B_symptom I_symptom O
恩，除了这个情况以外，睾丸有下垂的情况吗,O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O
嗯啊，心烦，,O O O B_emotion I_emotion O
可以完事的，手术一般20分钟左右完成，前后在院1个小时左右，耽误不了很长时间,O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O O O O
是排尿时吗？,O B_physiology I_physiology O O O
可是我会尴尬,O O O O B_emotion I_emotion
没有过一次。,O O O O O O
嗯，性生活是男性的尊严，长时间性生活不和谐很容易影响夫妻之间的感情的,O O B_physiology I_physiology I_physiology O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O
那如果这几天都没有像无法勃起这种情况，那该怎么办,O O O B_datetime I_datetime I_datetime O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O
男人做爱后尿道口疼痛怎么回事。今年36,O O B_physiology I_physiology O B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O B_age I_age
咱们医院是卫生局直接规定的，费用都是公开透明的，您可以在咱们一楼的显示屏上查询到的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
目前伴有小便刺痛，包皮口,O O O O B_symptom I_symptom I_symptom I_symptom O B_part I_part I_part
就是洗的时候太用力了,O O O O O O O O O O
精子变红了是怎么回事,B_symptom I_symptom I_symptom I_symptom O O O O O O
哦！我怕费用太高！行我考虑考虑一下吧！谢谢,O O O B_emotion O O O O O O O O O O O O O O O O O
这病怎么引起的呢,O O O O O O O O
只治疗男科？,O O O O O O
就是说以上检查全部费用只收28？,O O O O O O O O O O O O O B_price I_price O
有什么好点的药呢？,O O O O O O O O O
现在是完全不能勃起还是勃起硬度不够呢,O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
在不在?,O O O O
射出来和牛奶颜色差不多的精液正常吗,B_physiology O O O O O O O O O O O B_fluid I_fluid O O O
到医院抽血化验的又不是只有你一个。,O O O B_check I_check I_check I_check O O O O O O O O O O
副乳变大了当时不知道怎么回事,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O
用手摸左侧睾丸好像有个小疙瘩，一按那个地方更疼,O B_part O O O B_part I_part O O B_symptom I_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
你QQ或者微信多少？我加你也可以我加不来，要等我儿子帮我加才行,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
嗯龟头上是否有红点红斑的情况出现呢？好像没,O B_part I_part O O O O B_symptom I_symptom B_symptom I_symptom O O O O O O O O O O
不疼不痒，偶尔,O O O O O O O
疝气治疗得多少钱,B_symptom I_symptom O O O O O O
已经查一次了，你的意思就是再查一次吗,O O O O O O O O O O O O O O O O O O
你目前结婚生育了么？,O O O O O B_physiology I_physiology O O O
治疗方式很多但是一定要适合你,O O O O O O O O O O O O O O
做过龟头去敏手术老,O O B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O
钙化是之前就有炎症,B_symptom I_symptom O O O O O O O
长大在做可以吗,O O O O O O O
早泄有治疗方法吗,B_symptom I_symptom O O O O O O
拍张照片给我吧，我看一下，这样更直观一些，如果是伴随疼痛，那就很不应该了,O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O
会不会太慢,O O O O O
有没有这些检查,O O O O O O O
你能告诉我吃什么药最好我去买谢谢你,O O O O O O O O O O O O O O O O O
我当时打算三千多。超过了我的能力如果我继续来你们那里治疗。多久能治好。还须要多少钱？,O O O O O B_price I_price I_price O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
微信扣扣同步,O O O O O O
手淫的频率多少才算正常,B_cause I_cause O O O O O O O O O
我的QQ3524751669,O O O O O O O O O O O O O O
一周4到5次,B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency
想要治疗是需要过来医院检查清楚。要不你过来医院当面检查清楚,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
正常的白带应该是什么样子的,O O O B_fluid I_fluid O O O O O O O O
睾丸鞘膜积液吃什么药,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
及早干预没有问题,O O O O O O O O
就这边没有地铁,O O O O O O O
15983697906现在打可以嘛,O O O O O O O O O O O O O O O O O
我们在讨论问题，我想问下正常男性精子存活时间是多少?,O O O O O O O O O O O O O O O O B_fluid I_fluid O O O O O O O O
团结湖那个医院,B_address I_address I_address O O O O
我就问一下费用，方便回答吗亲？,O O O O O O O O O O O O O O O
我尿频尿急尿不尽，是不是前列腺炎症？,O B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom I_symptom O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O
这样吧先生您的微信是多少呢？我加您稍后我把咱们医院针对这方面的治疗方案发送给您您也好多了解了解。电话号码。13890141305,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
这样吧，您平时使用QQ还是微信呢，我添加下您，具体给你目前的情况和注意事项，对你一定有帮助的hl118781646331,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
多少钱我都出,O O O O O O
你好，冷天了怎么小便还想小便怎么回事,O O O B_cause I_cause O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O
可以,O O
怎么走。,O O O O
多大年龄了，出现这个情况多久了？,O O O O O O O O O O O O O O O O
炎症和所谓的上火是没有什么关系的这个是病菌感染引起的,O O O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O
如果真的是性病感染引起的淋病非淋。你拖一天就会加重一天的感染。那你打算什么时候检查。,O O O O O B_cause I_cause I_cause I_cause O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O
京西男科医院费用要少很多,O O O O O O O O O O O O
之前有过几次,O O O O O O
嗯，我加您,O O O O O
目前我院经卫生局指定与约减免活动，这次针对就诊患者是个机会，预约后免挂号费，检查费用减免，坐诊的都是经验丰富老专家，一对一就诊你也可以来院详细了解一下。你今年多大年龄,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
会不会还有其他的问题呢,O O O O O O O O O O O
我一般半个小时都不射，，属于什么,O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
想问问我究竟是否肾虚？肾虚还是肝火旺？需怎样治疗？,O O O O O O O O B_symptom I_symptom O B_symptom I_symptom O O B_symptom I_symptom I_symptom O O O O O O O
有瘙痒，疼痛，增大的情况出现吗没有,O B_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom O O O O O O O O
没见过白带，就是阴道口有点痒可能，内裤上有点黄色的分泌物，也不知道是尿液，还是阴道分泌物,O O O B_fluid I_fluid O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O B_fluid I_fluid I_fluid I_fluid I_fluid I_fluid O O O O O O B_fluid I_fluid O O O B_fluid I_fluid I_fluid I_fluid I_fluid
静脉曲张好治吗,B_symptom I_symptom I_symptom I_symptom O O O
今天早上第一次,B_datetime I_datetime I_datetime I_datetime O O O
我才手淫过两次,O O B_cause I_cause O B_frequency I_frequency
睾丸炎，精囊炎都是导致发黄的原因。你说的这些临床我可能理解不了,B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O
捐肾能拿多少钱？,O B_part O O O O O O
咱们这个年纪已经完全发育成型，如果说想延长长度的话，只能手术了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
治前列腺什么药好？,O B_symptom I_symptom I_symptom O O O O O
您今年多大年龄了呢？20,O O O O O O O O O O B_age I_age
需要费用大概多少,O O O O O O O O
不吃药能吗,O O O O O
请问，囊肿和硬结有什么区别吗？,O O O B_symptom I_symptom O B_symptom I_symptom O O O O O O O
女性，，性爱出血是什么原因,O O O O B_symptom I_symptom I_symptom I_symptom O O O O O
精液平时的颜色、形态正常吗？有没有颗粒、发黄、带血、果冻状、稀薄的情况？,B_fluid I_fluid O O O O O O O O O O O O O O O B_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom I_symptom O B_symptom I_symptom O O O O
您好，,O O O
几天一次那种,B_frequency I_frequency I_frequency I_frequency O O
这样吧你有微信或者是QQ吗我加你后期你有什么不清楚的随时沟通。我这下要休假才能了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
以前是否有频繁手淫的情况？正常一个月0-2次是没什么影响的,O O O O O B_cause I_cause I_cause I_cause O O O O O O B_frequency I_frequency I_frequency I_frequency I_frequency I_frequency I_frequency O O O O O O O
血常规,B_check I_check I_check
那我现在是生理期，是不是需要等生理期过了再去检查呢,O O O O O O O O O O O O O O O O O O O O O O O O O
从肾，膀胱，后尿道，输尿管，阴茎这些都是排尿通道，我说先生我只是善意的提醒，这方面也花不了多少钱，早点检查清楚之后，减少痛苦,O B_part O B_part I_part O B_part I_part I_part O B_tool I_tool I_tool O B_part I_part O O O O B_physiology I_physiology O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
可以的，我的电话17#########，，你的多绍呢,O O O O O O O O O O O O O O O O O O O O O O O O O O
当时您去医院针对阳痿,O O O O O O O O B_symptom I_symptom
那我应该怎么办呀,O O O O O O O O
在白求恩医学院怎么坐车过去,O O O O O O O O O O O O O
那我怎么到你们那去呢,O O O O O O O O O O
结婚了吗家里人有发现这个情况了吗,O O O O O O O O O O O O O O O O
你多大年龄比左边大好多,O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
恩，怎么没有及时查一下呢，频繁遗精的话容易影响到以后的生育方面我不想管它,O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O B_physiology I_physiology O O O O O O O
到医院核对上就可以。嗯，谢谢,O O O O O O O O O O O O O O
精索静脉曲张,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
这样吧，你平时用QQ还是微信，我添加你，具体给你看下情况，然后给你分析看下微信,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
一环路多少号一环东路249号,B_address I_address I_address O O O B_address I_address I_address I_address I_address I_address I_address I_address
跟没割包皮有关系吗,O O B_surgery I_surgery I_surgery O O O O
不好意思去医院,B_emotion I_emotion I_emotion I_emotion O O O
尿不净哈什么药合适，本人七十岁了,B_symptom I_symptom I_symptom O O O O O O O O O B_age I_age I_age O
淡盐水阴囊部位除了瘙痒以外，有没有脱皮结痂发红疼痛等情况,O O O B_part I_part O O O O B_symptom I_symptom O O O O O O B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom B_symptom I_symptom O O O
你电话是多少，我电话打给你咱们聊一下吧谢谢你了打扰你了工作,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
根据你目前的症状来看考虑是前列腺炎导致的，也有可能是尿路感染，具体原因需要做进一步检查才可以确诊，检查费用一百多左右，,O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price I_price I_price O
现在的症状，完全不一样,O O O O O O O O O O O
勃起的时候龟头能外露，平时露不出来是包皮吗,B_physiology I_physiology O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom O
三四次。,O O O O
生殖器感染是什么,B_symptom I_symptom I_symptom I_symptom I_symptom O O O
你好每天晚上都要起来上一次厕所,O O O O B_datetime I_datetime O O O O B_symptom I_symptom I_symptom I_symptom I_symptom
前列腺检查是通过前列腺液化验和,B_check I_check I_check I_check I_check O O O B_check I_check I_check I_check I_check I_check O
一上午能完事吗,B_datetime I_datetime I_datetime O O O O
是不是尿道炎呢？,O O O B_symptom I_symptom I_symptom O O
大约费用是多少钱？,O O O O O O O O O
包皮，什么样的不用割,B_part I_part O O O O O O O O
前列腺是一个怎样的病,B_part I_part I_part O O O O O O O
我觉得我得病了，，早泄，开始没几分钟就射了,O O O O O O O O O B_symptom I_symptom O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O
快点就不行了,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
不敢让他们知道,B_emotion I_emotion O O O O O
咱们医院包皮手术很常见每天都有。你是打算今天过来割包皮吗？价格是多少？,O O O O B_surgery I_surgery I_surgery I_surgery O O O O O O O O O O O O O O O O B_surgery I_surgery I_surgery O O O O O O O O
赵英杰13103319239,B_name I_name I_name O O O O O O O O O O O
所以我心理负担比较重,O O O B_emotion I_emotion I_emotion I_emotion I_emotion I_emotion I_emotion
您平时使用QQ还是微信呢？我添加你，你发一下你的检查结果，我帮你看一下，再给你指导我问好，直接到你们医院来,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
一有性生活就感冒怎么治？,O O B_physiology I_physiology I_physiology O B_symptom I_symptom O O O O
那我需要吃啥药吗,O O O O O O O O
我现在改怎么做呢,O O O O O O O O
有一个星期了，在卫生院打了几天针了，还是不见好没有做个系统的检查看是什么病因么,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
哦，要看检查结果是吗,O O O O O O O O O O
大概得一个费用是多少,O O O O O O O O O O
打算做！二十一了每个人体质不一样,O O O O O O O O O O O O O O O O
那你这样吧，你有QQ或者微信吗？我加你，你发给我，我帮你具体看下你现在的问题,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你好，我问一下最近右侧睾丸肿胀疼是怎么回事？,O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
前列腺炎可以配药酒喝吗？,B_symptom I_symptom I_symptom I_symptom O O O O B_cause I_cause O O
白带特别多而且发黄还带腥味是怎么回事,B_symptom I_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom O B_symptom I_symptom I_symptom O O O O O
包茎，做手术需要多少费用和时间恢复,B_symptom I_symptom O O O O O O O O O O O O O O O
27就几天前开始瘙痒今天洗澡发现涨红点了是红点还是红斑呢？,B_age I_age O B_datetime I_datetime I_datetime O O B_symptom I_symptom B_datetime I_datetime O O B_symptom I_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom O O B_symptom I_symptom O O
也不是每次软的偶尔有一次俩次的,O O O O O B_symptom O O O O B_frequency I_frequency I_frequency I_frequency O
你可以记下,O O O O O
我上次来月经8月1号，4号结束的，现在测怀孕了，您算管现在怀孕多长时间了,O O O O B_physiology I_physiology B_datetime I_datetime I_datetime I_datetime O B_datetime I_datetime O O O O O O O B_physiology I_physiology O O O O O O O B_physiology I_physiology O O O O O
嗯，如果打算彻底的话，是需要先做个细菌病菌的培养检查，检查也花不了多少钱，检查清楚是哪种致病菌引起的，咱们再根据您的情况，看您适合使用哪种药物,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
能痛快点么,O O O O O
性病是什么样子的啊,O O O O O O O O O
牛女士短信有收到吗？收到了,O O O O O O O O O O O O O
30大概多少钱,B_age I_age O O O O O
过年的有过几次,O O O O O O O
具体是什么导致的这个是需要你过来医院检查的。单纯的这样说我也不能给你确定。小便发黄。比方有脓性细胞,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O B_virus I_virus I_virus I_virus
你说我说了好几次,O O O O O O O O
您也可以加下咱们沟通也方便。我就是小便时有疼痛感，而且好像撵着尿尿的感觉一样，本来好涨了要分2，3次才能窝完请问这是咋回事啊,O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
直走吗,O O O
勃起硬度不够是典型的阳痿表现。你多大年龄？出现这样的情况有多长时间了？12,B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O
做包皮手术腾么,O B_surgery I_surgery I_surgery I_surgery O O
常见的有：生殖器官局部炎症形成不良刺激而引起的遗精，如患包皮炎、龟头炎、尿道炎、前列腺炎等炎症刺激，病变的局部刺激。噢,O O O O O B_part I_part I_part I_part O O O O O O O O O O O O O O B_symptom I_symptom O O O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O
别的费用没有是吧,O O O O O O O O
微创手术是什么概念,O O O O O O O O O
那这样吧，我先把你申请上，你保存好，，到时过来也能享受优惠减免，，我，电话是15512172244，你的电话多少？我把援助门诊号位以及医院地址，就诊流程，发到你的手机，你按照短信提示过来就行。,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
那怎么就有炎症了？,O O O O O O O O O
18，龟头，现在刚发现,B_age I_age O B_part I_part O O O O O O
会不会跟用的沐浴露有关系,O O O O B_cause I_cause I_cause I_cause I_cause O O O
起红点这样的情况早期是不会有任何不适的,B_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O
她说的是包皮龟头炎。,O O O O B_symptom I_symptom I_symptom I_symptom I_symptom O
你那种药氿真的有效吗我先了解下你的详细情况，你具体是哪方面的问题呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
十多年来一直有性生活中途疲软的症状么现在单次性生活时间大概几分钟呢,O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O
性冷淡可以治吗,B_symptom I_symptom I_symptom O O O O
要怎么办，，能治好么,O O O O O O O O O O
男人尿不下去是怎么回去,O O B_symptom I_symptom I_symptom I_symptom O O O O O
后面推迟了几天，有少量姨妈血,O O B_symptom I_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom I_symptom
我最近小腹胀痛，，老想小便，，是怎么回事,O O O B_symptom I_symptom I_symptom I_symptom O O B_symptom I_symptom I_symptom I_symptom O O O O O O O
应该服用什么药啊,O O O O O O O O
你好，今天早上第一次小便疼而且有血,O O O B_datetime I_datetime I_datetime I_datetime O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
生殖器部位不会无缘无故出现瘙痒的，肯定是存在病因的，是性生活过后加重的吗,B_part I_part I_part O O O O O O O O O O B_symptom I_symptom O O O O O O O O O O O O B_physiology I_physiology I_physiology O O O O O O
能看好吧这个,O O O O O O
成人血小板正常值是多少？,O O O O O O O O O O O O
怎么你们那里花费那么高,O O O O O O O O O O O
刚怀孕做多少钱？,O B_physiology I_physiology O O O O O
深里起夜好几次,O O O O O O O
嗯，做了检查,O O O O O O
几岁时适合做手术,O O O O O O O O
是的,O O
其实阳痿疾病只要检查明确病因，对症治疗，也是可以得到理想的效果的,O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O
性功能，，还检查彩超吗,O O O O O O O O B_check I_check O
嗑药还是？,O O O O O
你电话是，，我打给你,O O O O O O O O O O
昨天检查的。都是做了哪些检查,O O O O O O O O O O O O O O
龟头不大,B_symptom I_symptom I_symptom I_symptom
修复可以延长吗？,O O O O O O O O
这样吧,O O O
术后休息几天预约后是主任亲自来主刀的，不需要特意休息，正常上学就可以了，一般5-7天之后就恢复正常了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_datetime I_datetime I_datetime I_datetime O O O O O O O O
是想了解什么问题呢我生殖器下面根部长了一个肉疙瘩是怎么回事呀,O O O O O O O O O O B_part I_part I_part O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O
你们治疗是吃中药还是西药？,O O O O O O O O O O O O O
你现在阴茎勃起多少厘米呢,O O O B_part I_part B_physiology I_physiology O O O O O
没有是否伴有增多、瘙痒，疼痛，溃烂等症状出现？,O O O O O O B_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom O B_symptom I_symptom O O O O O O
主要是想要了解什么？,O O O O O O O O O O
不要越拖越严重像是盆腔附件有炎症的话也需要同时治疗的，单纯的按着阴道炎治疗的话，只能是暂缓炎症，没有从根本上解决问题我这边帮您预约上我院的半价检查，咱们这样过来是比较合适的,O O O O O O O O O B_part I_part B_part I_part O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
我老公经常犯困，躺下立马就能睡着是什么原因呢？,O O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O
微信和手机号：18134178603，请问有什么可以帮到你的吗？你好，有什么想问的请说,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
你现在在绵阳哪里呢！还是在其他城市呢成都,O O O O B_address I_address O O O O O O O O O O O O B_address I_address
晚上睡觉，不能喝水，喝一点第二天就早早的起来上厕所，频次还高,B_datetime I_datetime O O O O O O O O O O O O O O O O O O O O B_physiology I_physiology I_physiology O B_symptom I_symptom I_symptom I_symptom
是前列腺炎导致的吗？,O B_symptom I_symptom I_symptom I_symptom O O O O O
你现在除了小便发红,O O O O O B_symptom I_symptom I_symptom I_symptom
是一直敏感还是后来慢慢发展成这样的,O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O
阴茎在疲软的情况下可以完全露出龟头吗是,B_part I_part O O O O O O O O O O O O O B_part I_part O O
我院目前是有卫生厅下发的检查援助活动只针对网络预约的患者（名额只有20位），提前申请预约后套餐检查是61元。检查一次好多钱,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_price I_price I_price O O O O O O O O
目前这个情况不排除是出现了复发咱们医院比较常见一般囊肿结节肿瘤都是比较常见的所以不管是哪种都不能忽视以前好像有二三颗这样,O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
说前列腺有点问题，让我喝药，看看怎么样,O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O
精液呈透明需注意是否因射精过频引起的,B_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O B_cause I_cause I_cause I_cause O O O
"恩,为了便于病情分析，请问你多大年纪?目前是在哪个城市？症状出现多久?30",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_age I_age
咱们医院目前包皮手术费是290元,O O O O O O B_surgery I_surgery I_surgery I_surgery O O B_price I_price I_price I_price
时间在几分钟左右,O O O O O O O O
坐公交也行啊要转车，带娃娃麻烦的很,O O O O O O O O O O O O O O O O O
那跟啥有关系你就说，这个跟同房有关系美,O O O O O O O O O O O O O O O O O O O
你可以加上我好的,O O O O O O O O
红光治疗大概费用呢,B_othertreatment I_othertreatment I_othertreatment I_othertreatment O O O O O
恩，出现溃烂一般就比较严重了，是自己买的药吗还是医院给开的前面是镇上医生开的,O O O O B_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
电视剧里都是男人有外遇后就不喜欢和老婆做了，我现在很郁闷,O O O O O O O O O O O O O O O O O O O O O O O O O O B_emotion I_emotion
如果打字不方便沟通就局限。我的电话13548421694,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
男士入珠怎么收费,B_surgery I_surgery I_surgery I_surgery O O O O
然后做爱时候硬度不够，也感觉和这个有关,O O B_physiology I_physiology O O B_symptom I_symptom I_symptom I_symptom O O O O O O O O O
好的，我添加你添加你了,O O O O O O O O O O O
我想咨询一下治疗早泄的事,O O O O O O O O B_symptom I_symptom O O
"这样吧，您平时使用QQ还是微信呢，我添加下您，具体给你说下目前的情况和治疗方式，对你一定有帮助的痒是左侧跨根,内侧,龟头,肚脐皮下",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B_symptom O B_part I_part I_part I_part O O O O B_part I_part O B_part I_part I_part I_part
那综合您目前的病情和症状的话多考虑有些泌尿系统感染病情，比如说，尿道炎，尿路感染，前列腺炎等等,O O O O O O O O O O O O O O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O B_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O B_symptom I_symptom I_symptom I_symptom O O
我就是不舒服睾有点,O O O B_symptom I_symptom I_symptom B_part O O
座车线路,O O O O
咱们医专能做阴茎入珠手术吗,O O O O O O B_surgery I_surgery I_surgery I_surgery I_surgery I_surgery O
平常需要怎么样可以持久,O O O O O O O O O O O
我的龟头上面有红点点是怎么回事这样的情况不排除是有细菌病毒感染引起的,O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom I_symptom O O O O O O O O O O O O O O O O O O O O O O O O
您好，,O O O
网络不稳定，你可以加我的QQ：1226764122或者微信：15613100904，方便更好的咨询，或者留下你的联系方式我给你回过去您好,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
您有QQ吗，我加您QQ吧,O O O O O O O O O O O O
网上那些药有用吗,O O O O O O O O
就是近期突然博起时间段了,O O O O O O B_symptom I_symptom I_symptom I_symptom I_symptom I_symptom
嗯，没事的，请讲，，有什么不清楚的，我帮你解答,O O O O O O O O O O O O O O O O O O O O O O O
有三年手淫史，现在想戒掉，不知道什么药物有助于恢复性功能,O B_datetime I_datetime B_cause I_cause O O O O O O O O O O O O O O O O O O O O O O O
我这种病很厉害吗,O O O O O O O O
我这个好治疗吗,O O O O O O O
咱们沟通也方便。,O O O O O O O O
费用也不高，都是可以承受的，你微信多少，我加你一下，我详细和你说网页不稳定避免掉线了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
.l5号线还要倒公交,O O O O O O O O O O
就是想问问现在我们应该去医院先检查吗,O O O O O O O O O O O O O O O O O O
半月来两次月经正常吗？？？孩子13岁了,B_frequency I_frequency I_frequency I_frequency I_frequency B_physiology I_physiology O O O O O O O O B_age I_age I_age O
可以用秒计算了,O O O O O O O
我是担心花钱也看不好白发。,O O B_emotion I_emotion O O O O O O O O O
